task_id,occupation,task_text
18430,Orthoptists,"Evaluate, diagnose, or treat disorders of the visual system with an emphasis on binocular vision or abnormal eye movements."
20734,Mechanical Engineers,Investigate equipment failures or difficulties to diagnose faulty operation and recommend remedial actions.
17066,Allergists and Immunologists,"Prescribe medication such as antihistamines, antibiotics, and nasal, oral, topical, or inhaled glucocorticosteroids."
8931,Coroners,Witness and certify deaths that are the result of a judicial order.
22211,Clinical Neuropsychologists,"Diagnose and treat conditions involving injury to the central nervous system, such as cerebrovascular accidents, neoplasms, infectious or inflammatory diseases, degenerative diseases, head traumas, demyelinating diseases, and various forms of dementing illnesses."
11357,Postal Service Mail Carriers,"Register, certify, and insure parcels and letters."
15212,Microbiologists,"Isolate and maintain cultures of bacteria or other microorganisms in prescribed or developed media, controlling moisture, aeration, temperature, and nutrition."
10881,Aerospace Engineering and Operations Technologists and Technicians,"Inspect, diagnose, maintain, and operate test setups and equipment to detect malfunctions."
22748,"Orthopedic Surgeons, Except Pediatric",Diagnose or treat disorders of the musculoskeletal system.
18448,Nurse Midwives,Document findings of physical examinations.
10198,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","Repair or replace damaged molds, pipes, belts, chains, or other equipment, using hand tools, hand-powered presses, or jib cranes."
23824,"Captains, Mates, and Pilots of Water Vessels","Arrange for ships to be fueled, restocked with supplies, or repaired."
16555,Wind Energy Engineers,Monitor wind farm construction to ensure compliance with regulatory standards or environmental requirements.
5185,Bicycle Repairers,Assemble new bicycles.
20315,Fitness and Wellness Coordinators,"Organize and oversee fitness or wellness programs, such as information presentations, blood drives, or training in first aid or cardiopulmonary resuscitation (CPR)."
4996,Cleaners of Vehicles and Equipment,Clean and polish vehicle windows.
4865,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Disassemble and remove damaged or worn pipe.
23550,Automotive Service Technicians and Mechanics,Repair or rebuild transmissions.
9489,"Cooks, Institution and Cafeteria","Clean, cut, and cook meat, fish, or poultry."
1007,Human Resources Managers,"Contract with vendors to provide employee services, such as food service, transportation, or relocation service."
19046,Judicial Law Clerks,"Confer with judges concerning legal questions, construction of documents, or granting of orders."
2364,Nannies,Perform housekeeping and cleaning duties related to children's care.
4836,Helpers--Electricians,"Perform semi-skilled and unskilled laboring duties related to the installation, maintenance and repair of a wide variety of electrical systems and equipment."
15817,Wind Energy Operations Managers,"Estimate costs associated with operations, including repairs or preventive maintenance."
23373,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Repair and maintain farm vehicles, implements, and mechanical equipment."
16296,Geodetic Surveyors,"Compute, retrace, or adjust existing surveys of features such as highway alignments, property boundaries, utilities, control and other surveys to match the ground elevation-dependent grids, geodetic grids, or property boundaries and to ensure accuracy and continuity of data used in engineering, surveying, or construction projects."
5190,Bicycle Repairers,"Repair holes in tire tubes, using scrapers and patches."
5177,Sheet Metal Workers,"Maintain equipment, making repairs or modifications when necessary."
3121,Machinists,"Install experimental parts or assemblies, such as hydraulic systems, electrical wiring, lubricants, or batteries into machines or mechanisms."
22599,Musicians and Singers,Improvise music during performances.
22726,Emergency Medicine Physicians,Perform emergency resuscitations on patients.
22911,First-Line Supervisors of Firefighting and Prevention Workers,"Provide emergency medical services as required, and perform light to heavy rescue functions at emergencies."
23908,Mental Health Counselors,Perform crisis interventions to help ensure the safety of the patients and others.
21297,Security Managers,Direct or participate in emergency management and contingency planning.
7259,Emergency Management Directors,"Keep informed of federal, state, and local regulations affecting emergency plans, and ensure that plans adhere to those regulations."
13245,Telephone Operators,Offer special assistance to persons such as those who are unable to dial or who are in emergency situations.
22730,Emergency Medicine Physicians,"Select, request, perform, or interpret diagnostic procedures, such as laboratory tests, electrocardiograms, emergency ultrasounds, and radiographs."
20839,Parking Attendants,"Call emergency responders or the proper authorities and provide motorist assistance, such as giving directions or helping jump start a stalled vehicle."
7256,Emergency Management Directors,Maintain and update all resource materials associated with emergency preparedness plans.
12351,Chemical Equipment Operators and Tenders,Implement appropriate industrial emergency response procedures.
2127,Police Identification and Records Officers,Perform emergency work during off-hours.
7270,Emergency Management Directors,"Conduct surveys to determine the types of emergency-related needs to be addressed in disaster planning, or provide technical support to others conducting such surveys."
21347,"Transportation, Storage, and Distribution Managers","Develop and document standard and emergency operating procedures for receiving, handling, storing, shipping, or salvaging products or materials."
5385,Nuclear Engineers,Initiate corrective actions or order plant shutdowns in emergency situations.
7755,Anesthesiologists,Provide and maintain life support and airway management and help prepare patients for emergency surgery.
60,Medical and Health Services Managers,"Inspect facilities and recommend building or equipment modifications to ensure emergency readiness and compliance to access, safety, and sanitation regulations."
2714,Public Safety Telecommunicators,"Maintain files of information relating to emergency calls, such as personnel rosters and emergency call-out and pager files."
21768,Information Security Engineers,"Coordinate documentation of computer security or emergency measure policies, procedures, or tests."
5045,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Complete and maintain records of weather and beach conditions, emergency medical treatments performed, and other relevant incident information."
21363,"Transportation, Storage, and Distribution Managers",Evaluate contractors or business partners for operational efficiency or safety or environmental performance records.
4268,Occupational Therapy Assistants,"Perform clerical duties, such as scheduling appointments, collecting data, or documenting health insurance billings."
21463,Project Management Specialists,Communicate with key stakeholders to determine project requirements and objectives.
8601,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,Dispatch personnel and vehicles in response to telephone or radio reports of emergencies.
10772,Crane and Tower Operators,Direct helpers engaged in placing blocking or outrigging under cranes.
6844,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Review instructional content, methods, and student evaluations to assess strengths and weaknesses, and to develop recommendations for course revision, development, or elimination."
12365,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","Inspect machines or equipment for hazards, operating efficiency, malfunctions, wear, or leaks."
23380,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Identify plants, pests, and weeds to determine the selection and application of pesticides and fertilizers."
21657,Database Architects,"Test programs or databases, correct errors, and make necessary modifications."
21497,Security Management Specialists,Prepare documentation for case reports or court proceedings.
23096,School Bus Monitors,"Respond to students' questions, requests, or complaints."
5812,"Biological Science Teachers, Postsecondary",Collaborate with colleagues to address teaching and research issues.
21992,Electrical and Electronic Engineering Technologists and Technicians,Procure parts and maintain inventory and related documentation.
12486,"Inspectors, Testers, Sorters, Samplers, and Weighers",Read dials or meters to verify that equipment is functioning at specified levels.
10563,"Airline Pilots, Copilots, and Flight Engineers",Respond to and report in-flight emergencies and malfunctions.
17548,Intelligence Analysts,"Gather intelligence information by field observation, confidential information sources, or public records."
19802,Precision Agriculture Technicians,"Participate in efforts to advance precision agriculture technology, such as developing advanced weed identification or automated spot spraying systems."
17235,Radiologists,Develop treatment plans for radiology patients.
15479,Biomass Power Plant Managers,"Monitor the operating status of biomass plants by observing control system parameters, distributed control systems, switchboard gauges, dials, or other indicators."
17161,"Ophthalmologists, Except Pediatric","Instruct interns, residents, or others in ophthalmologic procedures and techniques."
